OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
69376,53,003,960600,1400000US53003960600,53003960600,9606,Asotin,WA,Washing,"Census Tract 9606, Asotin County, Washington","3,583.00",266.00,"2,876.00",1.60,0.67,1.20,0.66,0.00,0.36,0.26,0.32,0.94,0.15,0.00,0.59,0.00,0.84,0.93,0.00,2.36,0.90,0.63,0.35,0.78,1.76,0.66,0.32,0.20,0.85,1.37,0.66,0.47,0.47,0.47,6.90,0.68,0.03,0.03,0.03,0.55,0.35,0.46,0.43,0.32,0.61,0.54,3.25,0.44,0.87,0.40,0.73,0.21,2.21,0.68,0.82,0.62,1.43,0.84,6.93,0.52,0.00,1.00,1.00,0.00,0.00,2.00,0.40,0.00,8.48,0.24,27.01,0.00,31.20,0.00,25.16,10.95,0.00,38.85,48.27,5.88,6.70,3.35,0.19,42.85,2.20,32.41,7.00,4.50,10.10,21.31,8.80,17.60,23.30,20.70,16.10,0.20,12.10,0.60,34.60,10.70,8.40,14.10,11.30,0.66,0.74,0.87,0.57,0.52,"12,120.01","4,962,931.32"
69377,53,005,010100,1400000US53005010100,53005010100,101,Benton,WA,Washing,"Census Tract 101, Benton County, Washington","4,794.00",290.00,"12,115.00",1.33,0.54,1.13,0.61,0.55,0.44,0.25,0.34,1.58,0.37,0.95,0.67,0.00,0.91,0.86,0.00,3.40,0.98,0.39,0.85,0.30,1.54,0.48,0.46,0.27,0.87,1.60,0.89,0.84,0.84,0.84,8.95,0.95,0.31,0.31,0.31,0.08,0.10,0.10,0.25,0.03,0.38,0.05,0.99,0.05,0.79,0.53,0.49,0.40,2.21,0.68,0.48,0.66,1.13,0.71,4.64,0.17,0.00,0.00,1.00,0.00,0.00,1.00,0.20,1.00,8.82,0.23,27.64,12.06,53.43,0.00,56.85,1.41,0.00,100.00,88.98,12.58,28.11,12.15,0.80,98.87,15.70,9.26,2.70,1.90,6.70,10.66,5.40,3.80,21.10,22.50,12.20,0.80,0.60,0.80,30.20,9.00,8.90,8.50,8.30,0.40,0.28,0.92,0.20,0.02,"18,836.49","10,531,226.77"
69378,53,005,010201,1400000US53005010201,53005010201,102.01,Benton,WA,Washing,"Census Tract 102.01, Benton County, Washington","5,515.00",315.00,"7,284.00",1.40,0.58,1.20,0.67,0.55,0.38,0.14,0.32,1.40,0.30,0.95,0.60,0.95,0.86,0.94,0.00,4.29,1.00,0.84,0.31,0.41,1.56,0.50,0.48,0.60,0.95,2.02,0.95,0.59,0.59,0.59,9.86,0.99,0.24,0.24,0.24,0.18,0.05,0.36,0.30,0.04,0.25,0.17,1.35,0.09,0.69,0.58,0.56,0.42,2.24,0.70,0.61,0.55,1.16,0.72,5.00,0.22,0.00,0.00,1.00,0.00,0.00,1.00,0.20,1.00,8.56,0.17,27.18,9.66,33.71,13.72,31.74,13.92,0.00,1.03,44.55,10.67,30.84,73.06,27.97,62.78,11.90,14.20,1.80,3.80,7.70,11.74,3.90,7.50,18.90,23.10,13.20,0.90,2.00,0.40,30.30,9.60,7.80,10.10,8.80,0.40,0.46,0.76,0.25,0.09,"37,104.52","44,751,850.78"
69379,53,005,010202,1400000US53005010202,53005010202,102.02,Benton,WA,Washing,"Census Tract 102.02, Benton County, Washington","6,497.00",614.00,"14,190.00",1.91,0.79,1.71,0.93,0.55,0.43,0.23,0.34,1.55,0.36,0.98,0.78,0.95,0.94,0.97,0.00,4.62,1.00,0.47,0.57,0.30,1.34,0.29,0.76,0.50,0.96,2.22,0.97,0.91,0.91,0.91,10.65,1.00,0.59,0.59,0.59,0.66,0.31,0.21,0.86,0.44,0.56,0.51,3.57,0.52,0.41,0.43,0.88,0.81,2.53,0.88,0.80,0.69,1.48,0.87,8.17,0.72,0.00,1.00,0.00,0.00,0.00,1.00,0.20,1.00,8.77,0.22,27.56,48.49,85.03,17.88,76.38,35.34,0.00,88.12,67.59,12.60,98.02,52.45,37.39,100.00,38.50,38.90,6.30,2.80,24.90,24.62,8.00,16.90,14.20,21.10,20.10,6.50,10.50,1.00,30.40,10.70,7.00,13.40,9.60,0.41,0.74,0.56,0.36,0.43,"14,382.86","5,245,466.51"
69380,53,005,010300,1400000US53005010300,53005010300,103,Benton,WA,Washing,"Census Tract 103, Benton County, Washington","6,067.00",451.00,"2,533.00",1.22,0.48,1.22,0.68,0.55,0.41,0.31,0.35,1.62,0.39,0.00,0.42,0.00,0.71,0.00,0.00,1.13,0.56,0.85,0.61,0.41,1.87,0.73,0.76,0.73,0.96,2.44,0.99,0.47,0.47,0.47,7.53,0.80,0.45,0.45,0.45,0.33,0.30,0.36,0.60,0.25,0.34,0.25,2.44,0.27,0.52,0.76,0.80,0.40,2.48,0.85,0.60,0.38,0.98,0.65,6.35,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,8.71,0.27,27.75,0.00,5.84,0.00,3.61,0.00,0.00,0.48,70.65,10.75,97.87,97.66,36.13,42.79,25.30,21.54,6.20,3.80,14.40,19.56,4.90,9.80,16.00,26.10,17.60,0.80,1.90,0.10,28.60,10.20,7.30,12.20,8.40,0.30,0.62,0.64,0.21,0.29,"13,907.83","6,225,244.51"
69381,53,005,010400,1400000US53005010400,53005010400,104,Benton,WA,Washing,"Census Tract 104, Benton County, Washington","3,542.00",318.00,"3,194.00",1.67,0.70,1.27,0.71,0.55,0.43,0.34,0.35,1.67,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.92,0.21,1.83,0.70,0.79,0.77,0.95,2.51,0.99,0.85,0.85,0.85,6.85,0.67,0.45,0.45,0.45,0.73,0.46,0.87,0.64,0.58,0.69,0.43,4.40,0.70,0.19,0.78,0.83,0.32,2.12,0.60,0.44,0.00,0.44,0.19,7.41,0.59,0.00,1.00,0.00,1.00,0.00,2.00,0.40,1.00,8.77,0.29,27.72,0.00,0.00,0.00,0.00,0.00,0.00,21.81,93.09,13.67,100.00,100.00,32.89,99.54,25.60,43.35,9.00,9.90,15.40,28.81,10.50,14.50,10.10,26.40,18.40,0.50,0.40,0.00,28.30,11.60,6.10,15.70,9.40,0.29,0.87,0.37,0.33,0.69,"6,271.34","1,492,384.91"
69382,53,005,010500,1400000US53005010500,53005010500,105,Benton,WA,Washing,"Census Tract 105, Benton County, Washington","3,155.00",394.00,"12,102.00",1.22,0.48,1.02,0.53,0.55,0.44,0.34,0.35,1.68,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.86,0.18,1.48,0.42,0.48,0.43,0.93,1.84,0.93,0.91,0.91,0.91,5.91,0.46,0.53,0.53,0.53,0.79,0.22,0.26,0.78,0.63,0.54,0.41,3.63,0.53,0.11,0.98,0.58,0.57,2.25,0.71,0.00,0.79,0.79,0.47,7.20,0.56,0.00,1.00,0.00,0.00,0.00,1.00,0.20,1.00,8.82,0.29,27.73,0.00,0.00,0.00,0.00,0.00,0.00,95.54,89.31,14.00,31.93,37.62,14.06,100.00,32.80,47.61,4.80,3.10,20.80,30.59,7.60,14.00,8.30,36.30,13.50,1.90,0.00,2.10,28.70,11.10,6.40,15.00,9.00,0.31,0.81,0.43,0.28,0.62,"6,698.66","2,591,094.49"
69383,53,005,010600,1400000US53005010600,53005010600,106,Benton,WA,Washing,"Census Tract 106, Benton County, Washington","4,940.00",326.00,"6,668.00",1.56,0.65,1.36,0.76,0.61,0.45,0.47,0.39,1.92,0.52,0.00,0.71,0.00,0.91,0.96,0.00,2.58,0.93,0.59,0.67,0.14,1.41,0.36,0.74,0.72,0.00,1.47,0.72,0.62,0.62,0.62,7.99,0.87,0.43,0.43,0.43,0.54,0.16,0.64,0.80,0.70,0.54,0.29,3.66,0.54,0.31,0.77,0.54,0.40,2.01,0.51,0.00,0.70,0.70,0.40,6.80,0.49,0.00,1.00,0.00,0.00,0.00,1.00,0.20,1.33,8.85,0.38,28.62,0.00,64.95,0.00,55.04,26.38,0.00,51.38,75.31,14.47,95.13,97.51,0.00,67.82,24.00,31.81,3.80,6.00,21.30,33.32,7.60,10.80,12.50,26.20,12.90,0.80,0.00,1.10,28.50,10.80,6.50,13.90,9.00,0.30,0.76,0.45,0.28,0.49,"13,898.68","9,544,764.53"
69384,53,005,010701,1400000US53005010701,53005010701,107.01,Benton,WA,Washing,"Census Tract 107.01, Benton County, Washington","2,223.00",217.00,"1,021.00",0.75,0.21,0.55,0.18,0.55,0.32,0.05,0.16,1.09,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.09,0.98,2.07,0.86,0.61,0.39,0.00,1.01,0.48,0.37,0.37,0.37,4.54,0.17,0.42,0.42,0.42,0.29,0.54,0.20,0.24,0.16,0.31,0.37,2.10,0.21,0.69,0.49,0.73,0.67,2.58,0.90,0.99,0.00,0.99,0.66,6.10,0.38,0.00,1.00,0.00,0.00,0.00,1.00,0.20,1.00,8.27,0.11,22.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.85,3.08,62.83,30.05,0.00,29.40,23.10,19.97,10.70,2.70,6.50,16.90,4.60,12.80,18.80,22.00,16.00,3.10,53.00,0.00,28.50,10.60,6.60,12.50,8.50,0.30,0.72,0.47,0.22,0.33,"29,268.69","37,320,749.71"
69385,53,005,010703,1400000US53005010703,53005010703,107.03,Benton,WA,Washing,"Census Tract 107.03, Benton County, Washington","3,101.00",337.00,"1,920.00",0.98,0.34,0.78,0.34,0.55,0.32,0.05,0.20,1.12,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.31,0.66,1.77,0.67,0.44,0.25,0.87,1.56,0.89,0.42,0.42,0.42,4.87,0.23,0.40,0.40,0.40,0.63,0.44,0.80,0.20,0.05,0.52,0.37,3.01,0.39,0.40,0.85,0.73,0.81,2.80,0.96,0.98,0.00,0.98,0.64,7.18,0.56,0.00,1.00,0.00,0.00,0.00,1.00,0.20,1.00,8.28,0.10,23.94,0.00,0.00,0.00,0.00,0.00,0.00,4.34,45.12,7.22,24.23,9.80,1.32,35.67,21.50,36.57,8.70,8.10,5.90,12.77,7.30,13.00,14.00,28.20,16.10,6.70,37.70,0.00,32.00,11.10,7.20,13.70,10.40,0.51,0.81,0.61,0.46,0.47,"39,376.86","50,558,700.23"
69386,53,005,010705,1400000US53005010705,53005010705,107.05,Benton,WA,Washing,"Census Tract 107.05, Benton County, Washington","5,415.00",315.00,"2,198.00",0.14,0.01,0.14,0.01,0.55,0.39,0.23,0.23,1.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.11,0.48,1.06,0.11,0.37,0.34,0.00,0.71,0.28,0.43,0.43,0.43,3.59,0.05,0.25,0.25,0.25,0.06,0.05,0.21,0.19,0.05,0.19,0.06,0.81,0.03,0.20,0.92,0.31,0.29,1.72,0.27,0.53,0.51,1.04,0.68,3.82,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,8.60,0.22,24.88,0.00,0.00,0.00,0.00,0.00,0.00,90.25,19.44,9.38,13.92,21.37,0.00,37.05,12.60,7.90,1.80,2.80,5.70,12.16,3.20,3.90,10.40,30.70,9.80,0.40,1.00,0.30,24.60,9.90,6.10,11.20,6.80,0.12,0.54,0.37,0.07,0.19,"12,596.71","7,593,797.23"
69387,53,005,010707,1400000US53005010707,53005010707,107.07,Benton,WA,Washing,"Census Tract 107.07, Benton County, Washington","3,553.00",300.00,"1,114.00",0.12,0.01,0.12,0.01,0.55,0.36,0.11,0.20,1.22,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.03,0.69,1.35,0.31,0.50,0.24,0.00,0.73,0.30,0.43,0.43,0.43,3.74,0.06,0.42,0.42,0.42,0.09,0.09,0.23,0.05,0.04,0.17,0.03,0.70,0.02,0.08,0.98,0.28,0.40,1.74,0.28,0.56,0.00,0.56,0.31,3.42,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,8.49,0.15,24.04,0.00,0.00,0.00,0.00,0.00,0.00,36.97,3.70,6.89,34.92,7.59,0.00,37.05,23.60,9.83,2.60,2.90,2.40,11.72,3.00,2.60,7.30,35.20,9.50,0.80,1.30,0.00,23.20,9.90,5.60,11.70,6.30,0.08,0.54,0.27,0.05,0.24,"12,988.88","5,549,708.02"
69388,53,005,010708,1400000US53005010708,53005010708,107.08,Benton,WA,Washing,"Census Tract 107.08, Benton County, Washington","3,621.00",258.00,"1,387.00",0.62,0.15,0.42,0.11,0.55,0.37,0.13,0.24,1.29,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.19,0.47,1.44,0.39,0.47,0.19,0.89,1.55,0.78,0.43,0.43,0.43,4.72,0.20,0.33,0.33,0.33,0.22,0.12,0.64,0.13,0.09,0.09,0.44,1.73,0.15,0.42,0.86,0.48,0.37,2.13,0.61,0.84,0.00,0.84,0.51,5.03,0.22,0.00,1.00,0.00,0.00,0.00,1.00,0.20,1.00,8.50,0.16,25.21,0.00,0.00,0.00,0.00,0.00,0.00,5.44,30.86,9.67,30.50,1.11,3.97,37.05,16.90,16.47,3.10,6.00,4.60,14.32,2.00,14.70,14.40,28.30,12.10,0.70,14.10,0.00,29.50,10.50,7.00,12.20,9.10,0.36,0.70,0.56,0.29,0.29,"15,958.21","8,660,688.60"
